               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.053756,            0.094472,            0.010659,             0.79768,                   1,               0.995,              0.4114,            0.058413,             0.10756,           0.0082715,           0.0082378,           0.0082378,           0.0082378
                  91,            0.059401,            0.097663,            0.011363,             0.83366,                   1,               0.995,              0.5694,            0.048948,             0.10099,           0.0080337,            0.008218,            0.008218,            0.008218
                  92,            0.056287,            0.095426,            0.010521,             0.93296,             0.98475,               0.995,             0.44799,            0.061387,             0.10932,           0.0084835,           0.0081982,           0.0081982,           0.0081982
                  93,            0.057159,            0.097419,             0.01062,             0.95484,                   1,               0.995,             0.71881,            0.046433,             0.10572,           0.0084502,           0.0081784,           0.0081784,           0.0081784
                  94,            0.055898,            0.095283,            0.010321,             0.95635,             0.99131,               0.995,             0.59423,            0.049659,             0.10877,           0.0085224,           0.0081586,           0.0081586,           0.0081586
                  95,            0.053683,            0.096696,            0.010419,             0.80538,                   1,               0.995,             0.61248,            0.054112,             0.10909,           0.0079564,           0.0081388,           0.0081388,           0.0081388
                  96,            0.058361,            0.095955,           0.0098503,             0.89111,              0.9693,               0.975,             0.55589,            0.051978,             0.10026,           0.0077633,            0.008119,            0.008119,            0.008119
                  97,            0.053267,            0.092005,            0.009991,             0.87815,                   1,               0.995,             0.67333,            0.052577,             0.10317,           0.0077747,           0.0080992,           0.0080992,           0.0080992
                  98,            0.056384,             0.09776,           0.0094234,             0.92186,                   1,               0.995,             0.74602,            0.049307,             0.10642,           0.0079313,           0.0080794,           0.0080794,           0.0080794
                  99,            0.055793,            0.093139,             0.01019,             0.87844,                   1,               0.995,             0.64674,            0.050695,             0.10557,           0.0079554,           0.0080596,           0.0080596,           0.0080596
                 100,            0.055573,            0.096378,           0.0099464,             0.90995,                   1,               0.995,             0.48936,            0.057226,             0.10747,           0.0077114,           0.0080398,           0.0080398,           0.0080398
                 101,            0.057583,            0.095408,           0.0092772,               0.932,                   1,               0.995,             0.63189,            0.048085,             0.10409,           0.0075744,             0.00802,             0.00802,             0.00802
                 102,            0.053899,            0.089951,           0.0098906,             0.94824,                   1,               0.995,             0.48053,            0.060269,             0.10149,           0.0073306,           0.0080002,           0.0080002,           0.0080002
